,title,price,squer,room,city,addres,floor,metr,new_rem,auction,quiet_area,furniture,center,parking
,"вул. Рівненська, 25Є",70000,95,3,Луцьк,"Центр
                    ·",10,737,0,0,0,0,0,0
,просп. Відродження,35500,50,2,Луцьк,"33 мікрорайон
                    ·",9,710,0,0,0,0,0,0
,"вул. Єршова, 9А",59000,60,2,Луцьк,"33 мікрорайон
                    ·",5,983,0,0,0,0,0,0
,"вул. Метельницького архітектора, 4",55000,65,3,Луцьк,"Центр
                    ·",1,851,0,0,0,0,0,0
,"вул. Франка Івана, 1",145000,108,3,Луцьк,"Центр
                    ·",3,1343,0,0,0,0,0,0
,"просп. Відродження, 9",51000,67,3,Луцьк,"Теремно
                    ·",9,761,0,0,0,0,0,0
,"просп. Перемоги, 20",55000,57,3,Луцьк,"Центр
                    ·",3,965,0,0,0,0,0,0
,"просп. Молоді, 15",42000,67,3,Луцьк,Луцьк,6,627,0,0,0,0,0,0
,"вул. Гордіюк, 12",45000,51,2,Луцьк,"40 мікрорайон
                    ·",8,882,0,0,0,0,0,0
,Кості Гордієнка,80000,74,3,Луцьк,Луцьк,3,1081,0,0,0,0,0,0
,"вул. Конякіна, 33",58000,82,4,Луцьк,"40 мікрорайон
                    ·",3,707,0,0,0,0,0,0
,проспект Перемоги,46500,45,2,Луцьк,"55 мікрорайон
                    ·",7,1033,0,0,0,0,0,0
,"Щусєва , 18",26000,31,1,Луцьк,Луцьк,5,852,0,0,0,0,0,0
,"вул. Карпенка-Карого, 7",32730,36,1,Луцьк,"55 мікрорайон
                    ·",5,946,0,0,0,0,0,0
,Космонавта Леоніда Каденюка,49500,54,3,Луцьк,"Вишків
                    ·",3,925,0,0,0,0,0,0
,вул. Гімназійна(Черняховського),25000,31,1,Луцьк,"Гнідава
                    ·",5,814,0,0,0,0,0,0
,"просп. Перемоги, 34А",40000,43,1,Луцьк,Луцьк,8,930,0,0,0,0,0,0
,"просп. Перемоги, 32Б",55000,50,1,Луцьк,"Центр
                    ·",8,1100,0,0,0,0,0,0
,"просп. Перемоги, 4",42500,43,1,Луцьк,"55 мікрорайон
                    ·",4,988,0,0,0,0,0,0
,"вул. Ковельська, 24",32000,75,5,Луцьк,"Центр
                    ·",2,429,0,0,0,0,0,0
,вул. Коновальця Євгена,29500,43,2,Луцьк,"Завокзальне
                    ·",5,686,0,0,0,0,0,0
,"вул. Ківерцівська, 16",32000,45,2,Луцьк,Луцьк,5,705,0,0,0,0,0,0
,вул. Дубнівська,105000,148,4,Луцьк,"Центр
                    ·",9,709,0,0,0,0,0,0
,"вул. Рівненська, 25Р",70000,95,3,Луцьк,"Центр
                    ·",10,739,0,0,0,0,0,0
,"вул. Шкільна, 4",39500,43,1,Луцьк,"Красне
                    ·",3,919,0,0,0,0,0,0
,вул. Шевченка,61000,70,3,Луцьк,"Теремно
                    ·",1,871,0,0,0,0,0,0
,"вул. Вальдемара Пясецького(Пушкіна), 7",124900,86,3,Луцьк,"Центр
                    ·",2,1452,0,0,0,0,0,0
,"вул. Франка Івана, 7",48000,45,1,Луцьк,Луцьк,11,1067,0,0,0,0,0,0
,вул. Цегельна,79000,90,3,Луцьк,"Гнідава
                    ·",1,878,0,0,0,0,0,0
,вул. Сагайдачного Гетьмана,38000,50,2,Луцьк,"33 мікрорайон
                    ·",3,760,0,0,0,0,0,0
,просп. Перемоги,72000,65,2,Луцьк,"55 мікрорайон
                    ·",6,1108,0,0,0,0,0,0
,"Київський майд., 11",70000,81,4,Луцьк,"Центр
                    ·",3,864,0,0,0,0,0,0
,"вул. Конякіна, 3А, 3Б, 3В",77735,88,3,Луцьк,Луцьк,1,882,0,0,0,0,0,0
,"вул. Даньшина, 14В",36000,38,1,Луцьк,Луцьк,4,942,0,0,0,0,0,0
,Волі проспект,66000,69,2,Луцьк,"Центр
                    ·",9,954,0,0,0,0,0,0
,вул. Кравчука,89000,87,3,Луцьк,"40 мікрорайон
                    ·",3,1023,0,0,0,0,0,0
,вул. Винниченка,35000,50,3,Луцьк,"Центр
                    ·",5,700,0,0,0,0,0,0
,"вул. Героїв-добровольців(Федорова), 4В",97000,90,3,Луцьк,Луцьк,5,1078,0,0,0,0,0,0
,"просп. Грушевського Президента, 24",55000,49,2,Луцьк,"Центр
                    ·",2,1122,0,0,0,0,0,0
,вул. Даньшина,50000,45,1,Луцьк,Луцьк,9,1111,0,0,0,0,0,0
,вул. 8 Березня,68000,79,3,Луцьк,"Центр
                    ·",1,862,0,0,0,0,0,0
,"просп. Волі, 74",35500,53,2,Луцьк,"Центр
                    ·",2,670,0,0,0,0,0,0
,"вул. Володимирська, 110",35000,44,1,Луцьк,"Красне
                    ·",8,795,0,0,0,0,0,0
,вул. Арцеулова,55000,60,2,Луцьк,"Центр
                    ·",9,917,0,0,0,0,0,0
,"вул. Бенделіані, 1",30000,36,1,Луцьк,"ГПЗ
                    ·",9,833,0,0,0,0,0,0
,"вул. Фабрична, 4",25000,34,2,Луцьк,Луцьк,1,735,0,0,0,0,0,0
,Скандинавська вул.,36500,65,2,Луцьк,"Теремно
                    ·",3,562,0,0,0,0,0,0
,просп. Соборності,29900,34,1,Луцьк,"33 мікрорайон
                    ·",1,887,0,0,0,0,0,0
,вул. Польова,35000,60,3,Луцьк,"Вересневе
                    ·",2,583,0,0,0,0,0,0
,"вул. Липинського, 4",74000,90,2,Луцьк,"55 мікрорайон
                    ·",1,822,0,0,0,0,0,0
,"вул. Боголюбська, 148",51000,77,3,Луцьк,"Кічкарівка
                    ·",4,662,0,0,0,0,0,0
,вул. Гулака-Артемовського,33000,50,3,Луцьк,"Завокзальне
                    ·",5,660,0,0,0,0,0,0
,"просп. Грушевського Президента, 1",45000,70,3,Луцьк,"Центр
                    ·",3,642,0,0,0,0,0,0
,вул. Відродження,33000,60,3,Луцьк,"Балка
                    ·",5,550,0,0,0,0,0,0
,"просп. Волі, 16Г",85000,82,2,Луцьк,"Центр
                    ·",6,1037,0,0,0,0,0,0
,"вул. Миру, 5",75000,108,4,Луцьк,"Теремно
                    ·",4,694,0,0,0,0,0,0
,"просп. Соборності, 42",54000,62,3,Луцьк,Луцьк,7,871,0,0,0,0,0,0
,"вул. Кримського Агатангела, 16",49500,46,1,Луцьк,"55 мікрорайон
                    ·",5,1076,0,0,0,0,0,0
,"вул. Рівненська, 125",30000,36,2,Луцьк,"Теремно
                    ·",8,843,0,0,0,0,0,0
,"вул. Електроапаратна, 2В",44000,40,1,Луцьк,"Центр
                    ·",4,1100,0,0,0,0,0,0
,"вул. Коновальця Євгена, 1",57000,50,2,Луцьк,"Центр
                    ·",3,1140,0,0,0,0,0,0
,"вул. Липинського, 3",55091,60,2,Луцьк,"55 мікрорайон
                    ·",6,906,0,0,0,0,0,0
,"вул. Кравчука, 11Б",75000,110,3,Луцьк,"40 мікрорайон
                    ·",1,682,0,0,0,0,0,0
,"просп. Відродження, 43",53000,70,3,Луцьк,"33 мікрорайон
                    ·",5,757,0,0,0,0,0,0
,просп. Грушевського Президента,120000,145,4,Луцьк,"Завокзальне
                    ·",5,828,0,0,0,0,0,0
,"вул. Арцеулова, 9",77800,90,3,Луцьк,"Центр
                    ·",2,864,0,0,0,0,0,0
,"вул. Олеся Гончара, 3",95000,145,3,Луцьк,"55 мікрорайон
                    ·",2,655,0,0,0,0,0,0
,"вул. Супутника, 6А",58900,64,2,Луцьк,Луцьк,7,920,0,0,0,0,0,0
,"вул. Дмитра Іващенка, 1А",120000,60,2,Луцьк,"33 мікрорайон
                    ·",6,2000,0,0,0,0,0,0
,"вул. Коновальця Євгена, 3",60000,64,3,Луцьк,"Центр
                    ·",3,945,0,0,0,0,0,0
,"вул. Електроапаратна, 74",46000,61,2,Луцьк,"Центр
                    ·",3,754,0,0,0,0,0,0
,вул. Кривий Вал,73000,80,3,Луцьк,"Центр
                    ·",3,913,0,0,0,0,0,0
,вул. Березова,48600,64,2,Луцьк,"Кічкарівка
                    ·",1,757,0,0,0,0,0,0
,вул. Новочерчицька,52000,51,2,Луцьк,"Кічкарівка
                    ·",5,1020,0,0,0,0,0,0
,вул. Гордіюк,48000,75,4,Луцьк,"40 мікрорайон
                    ·",5,642,0,0,0,0,0,0
,"вул. Християнська, 42",69273,86,2,Луцьк,"Теремно
                    ·",9,802,0,0,0,0,0,0
,"вул. Яровиця, 17",115000,130,3,Луцьк,"Центр
                    ·",12,885,0,0,0,0,0,0
,просп. Молоді,46500,80,4,Луцьк,"33 мікрорайон
                    ·",7,581,0,0,0,0,0,0
,вул. Конякіна,60000,73,3,Луцьк,"40 мікрорайон
                    ·",2,822,0,0,0,0,0,0
,"вул. Рівненська, 119",41500,42,1,Луцьк,"Теремно
                    ·",6,988,0,0,0,0,0,0
,"вул. Задворецька, 1А",80000,80,3,Луцьк,"Центр
                    ·",9,996,0,0,0,0,0,0
,"просп. Волі, 33",38000,46,2,Луцьк,"Центр
                    ·",2,830,0,0,0,0,0,0
,вул. Захарова,47500,86,4,Луцьк,"Балка
                    ·",2,552,0,0,0,0,0,0
,пров. Шота Руставелі,48000,79,4,Луцьк,"ГПЗ
                    ·",1,610,0,0,0,0,0,0
,вул. Гнідавська,75000,90,3,Луцьк,"Центр
                    ·",1,833,0,0,0,0,0,0
,"Київський майд., 5",63000,60,3,Луцьк,"Центр
                    ·",8,1050,0,0,0,0,0,0
,вул. Набережна,112000,75,3,Луцьк,"Центр
                    ·",7,1493,0,0,0,0,0,0
,"вул. Шевченка, 13А",35000,38,1,Луцьк,"Центр
                    ·",5,933,0,0,0,0,0,0
,"вул. Зацепи, 3Л",76000,85,3,Луцьк,"33 мікрорайон
                    ·",8,894,0,0,0,0,0,0
,вул. Ковельська,85000,78,2,Луцьк,"Старе місто
                    ·",5,1090,0,0,0,0,0,0
,"вул. Волі, 32Б",45000,78,2,Луцьк,Луцьк,10,577,0,0,0,0,0,0
,вул. Богдана Хмельницького,29500,25,1,Луцьк,"Центр
                    ·",1,1161,0,0,0,0,0,0
,"вул. Рівненська, 127",64000,72,2,Луцьк,"Теремно
                    ·",1,891,0,0,0,0,0,0
,вул. Теремнівська,83000,95,4,Луцьк,Луцьк,5,876,0,0,0,0,0,0
,"Травневий провулок, 1",73000,753,2,Луцьк,"40 мікрорайон
                    ·",5,97,0,0,0,0,0,0
,"вул. Богдана Хмельницького, 36",43208,41,2,Луцьк,"Центр
                    ·",3,1041,0,0,0,1,1,0
,"вул. Карпенка-Карого, 9",73000,72,3,Луцьк,"55 мікрорайон
                    ·",2,1014,1,0,0,0,0,0
,вул. Боголюбська,54000,47,1,Луцьк,"Центр
                    ·",2,1156,0,0,1,0,0,0
,"вул. Олекси Ошуркевича, 1А",38134,48,1,Луцьк,"Гнідава
                    ·",9,799,0,0,0,0,0,0
,вул. 15-го Квітня,21300,42,1,Тернопіль,"Бам
                        ·",4,505,0,0,0,0,0,0
,вул. Замонастирська,48900,48,2,Тернопіль,"Центр
                        ·",2,1019,0,1,0,0,1,0
,"вул. Білецька, 30",39787,44,1,Тернопіль,"Новий світ
                        ·",5,907,0,0,0,0,0,0
,вул. Карпенка,59000,63,2,Тернопіль,"Дружба
                        ·",1,937,0,0,1,0,0,0
,"вул. Стадникової Софії, 16",68500,57,2,Тернопіль,"Центр
                        ·",3,1202,0,0,0,0,1,0
,просп. Злуки,32500,48,2,Тернопіль,"Бам
                        ·",8,680,1,0,0,0,0,0
,вул. Галицька,24000,36,1,Тернопіль,"Бам
                        ·",3,667,0,0,1,0,0,0
,"вул. Вербицького Михайла, 7",100392,125,5,Тернопіль,"Канада
                        ·",9,800,0,0,0,0,0,0
,просп. Бандери Степана,39000,55,2,Тернопіль,"Східний
                        ·",2,709,0,0,0,0,0,0
,вул. Тарнавського Мирона Генерала,73000,89,3,Тернопіль,"Бам
                        ·",8,820,0,0,1,0,0,0
,пров. Тарнавського Мирона Генерала,59800,82,3,Тернопіль,"Бам
                        ·",10,729,0,0,1,0,0,0
,,46900,47,1,Тернопіль,"Центр
                        ·",11,1000,0,0,0,0,0,0
,вул. Корольова,43000,39,1,Тернопіль,"Бам
                        ·",3,1103,0,0,0,0,0,0
,"вул. Торговиця(Живова Анатолія), 19",60800,76,2,Тернопіль,"Центр
                        ·",11,800,0,0,0,0,0,0
,"вул. Київська, 9Г",59500,55,2,Тернопіль,"Бам
                        ·",3,1082,0,0,0,0,0,0
,вул. Слівенська,38000,58,3,Тернопіль,"Східний
                        ·",3,655,0,0,0,0,0,0
,вул. Будного Степана,49000,49,1,Тернопіль,"Дружба
                        ·",5,1000,0,0,0,1,0,0
,"вул. Яблунева, 1",42000,50,2,Тернопіль,"Дружба
                        ·",2,840,0,0,1,0,0,0
,вул. Новий Світ,42000,45,2,Тернопіль,"Новий світ
                        ·",1,933,0,0,1,0,0,0
,вул. Євгена Коновальця,49800,93,3,Тернопіль,"Канада
                        ·",8,535,0,0,1,0,0,0
,вул. Довженка Олександра,46970,66,1,Тернопіль,"Східний
                        ·",9,709,0,0,0,0,0,0
,Підволочиське шосе,17500,35,1,Тернопіль,"Східний
                        ·",4,496,0,0,1,0,0,0
,"вул. Іллєнка, 3В",44100,83,3,Тернопіль,"Бам
                        ·",10,531,0,0,1,0,0,0
,вул. Квітки Цісик(Ломоносова),67000,74,3,Тернопіль,"Старий парк
                        ·",6,903,0,0,1,0,0,0
,"просп. Злуки, 25",38000,44,2,Тернопіль,"Бам
                        ·",1,864,0,0,0,0,0,0
,вул. Опільського Юліана,83130,65,2,Тернопіль,"Центр
                        ·",16,1271,0,0,0,0,0,0
,пров. Галицький,40000,66,2,Тернопіль,"Бам
                        ·",5,606,0,0,1,0,0,0
,вул. Листопадова,117500,91,4,Тернопіль,"Центр
                        ·",2,1295,0,0,0,0,1,0
,вул. Полковника Данила Нечая,58000,58,2,Тернопіль,"Новий світ
                        ·",13,1000,0,0,1,0,0,0
,вул. Шептицького Андрія Митрополита,69660,59,2,Тернопіль,"Центр
                        ·",6,1173,0,0,0,0,0,0
,вул. Руська,140000,177,5,Тернопіль,"Центр
                        ·",2,793,0,0,0,1,1,0
,вул. Київська,41099,58,2,Тернопіль,"Бам
                        ·",8,737,0,0,1,0,0,0
,вул. Квітки Цісик(Ломоносова Михайла),56525,67,2,Тернопіль,"Старий парк
                        ·",2,850,0,0,1,0,0,0
,вул. Іллєнка,45500,46,1,Тернопіль,"Північний
                        ·",3,989,0,1,0,0,0,1
,вул. Патріарха Любомира Гузара(Чалдаєва),44500,50,2,Тернопіль,"Бам
                        ·",2,890,0,0,1,0,0,0
,вул. Тернопільська,22000,38,1,Тернопіль,"Кутківці
                        ·",3,579,0,0,0,0,0,0
,"вул. Коцюбинського, 36",38175,50,1,Тернопіль,"Старий парк
                        ·",2,764,0,0,0,0,0,0
,вул. Коллонтая Гуго,51000,58,2,Тернопіль,"Центр
                        ·",5,879,0,0,1,1,1,0
,вул. Миру,115000,110,3,Тернопіль,"Дружба
                        ·",10,1045,0,0,0,0,0,0
,вул. Старий Поділ(Танцорова),40000,41,2,Тернопіль,"Центр
                        ·",3,976,0,0,0,0,0,0
,вул. Сахарова Андрія Академіка,67000,74,3,Тернопіль,"Бам
                        ·",10,905,0,1,0,0,0,0
,вул. Над Яром,77000,68,2,Тернопіль,"Старий парк
                        ·",8,1132,0,0,1,1,0,0
,вул. Лисенка,54900,76,3,Тернопіль,"Старий парк
                        ·",1,720,0,0,1,1,0,0
,"вул. Київська, 9",47000,51,2,Тернопіль,"Бам
                        ·",10,922,0,0,0,0,0,0
,вул. Підволочиське шосе,45668,61,2,Тернопіль,"Східний
                        ·",5,749,0,0,0,0,0,0
,вул. Володимира Лучаковського(Лучаківського),54500,67,2,Тернопіль,"Дружба
                        ·",1,813,0,0,1,1,0,0
,вул. Тернопільська (Вел. Гаї),85000,85,3,Тернопіль,"Дружба
                        ·",1,1000,0,0,1,0,0,0
,вул. Енергетична,76800,96,2,Тернопіль,"Центр
                        ·",8,800,0,0,0,0,0,0
,вул. Сонячна (Байківці),34334,64,2,Тернопіль,"Бам
                        ·",4,556,0,0,0,0,0,0
,вул. Чернівецька,55000,60,2,Тернопіль,"Оболоня
                        ·",1,917,0,0,1,0,0,0
,"вул. Корольова, 26",50000,40,2,Тернопіль,"Бам
                        ·",8,1250,0,0,0,0,0,0
,вул. Героїв Чорнобиля,62000,62,2,Тернопіль,"Бам
                        ·",9,1000,0,0,1,0,0,0
,вул. Вербицького Михайла,34000,40,1,Тернопіль,"Канада
                        ·",6,850,0,0,1,0,0,0
,вул. Микулинецька,68000,82,3,Тернопіль,"Бакаїха
                        ·",4,829,0,0,1,1,0,0
,вул. Глибока,83000,80,2,Тернопіль,"Центр
                        ·",8,1038,0,0,0,1,0,0
,вул. Лепкого Богдана,88000,99,3,Тернопіль,"Бам
                        ·",5,889,0,0,1,0,0,0
,"просп. Злуки, 45Б",65000,83,3,Тернопіль,"Ювілейний
                        ·",8,783,0,0,1,0,0,0
,"вул. Заміська, 16",45000,45,1,Тернопіль,"Бам
                        ·",9,1000,0,0,1,0,0,0
,вул. Вільхова,75500,81,3,Тернопіль,"Новий світ
                        ·",9,932,0,0,0,0,0,0
,вул. Гайова,65625,88,3,Тернопіль,"Центр
                        ·",1,746,0,0,0,0,1,0
,вул. Винниченка Володимира,75000,70,2,Тернопіль,"Дружба
                        ·",9,1071,0,1,0,0,0,0
,вул. Володимира Великого,47000,60,2,Тернопіль,"Аляска
                        ·",5,783,0,0,1,0,0,0
,вул. Купчинського Романа,36000,65,3,Тернопіль,"Бам
                        ·",9,554,0,0,0,0,0,0
,бул. Вишневецького Дмитра,59500,120,4,Тернопіль,"Аляска
                        ·",6,496,0,0,0,0,0,0
,вул. Білогірська,40500,75,2,Тернопіль,"Центр
                        ·",11,540,0,0,1,0,0,0
,"вул. Київська, 6",58000,94,3,Тернопіль,"Бам
                        ·",7,616,0,0,0,0,0,0
,"вул. Лесі Українки, 1",17500,24,1,Тернопіль,Тернопіль,5,729,0,0,0,0,0,0
,"вул. Миру, 1",48000,54,3,Тернопіль,"Дружба
                        ·",2,889,0,0,0,0,0,0
,вул. Торговиця(Живова Анатолія),50000,53,1,Тернопіль,"Оболоня
                        ·",9,943,0,0,0,0,0,0
,вул. Героїв Крут,22000,22,1,Тернопіль,"Східний
                        ·",2,1009,0,0,1,0,0,0
,вул. Чумацька,147000,160,4,Тернопіль,"Дружба
                        ·",5,919,0,0,1,0,0,0
,"вул. Чумацька, 2",57000,73,2,Тернопіль,"Дружба
                        ·",8,781,0,0,1,0,0,0
,"вул. Будного Степана, 26",49211,62,2,Тернопіль,"Дружба
                        ·",1,789,0,0,0,0,0,0
,"просп. Злуки, 47В",76900,62,2,Тернопіль,"Бам
                        ·",8,1240,0,0,0,0,0,0
,"вул. 15-го Квітня, 3",29000,42,2,Тернопіль,Тернопіль,5,699,0,0,1,0,0,0
,вул. Сонячна (Біла),30449,57,2,Тернопіль,"Бам
                        ·",1,530,0,0,1,0,0,0
,"пров. Тарнавського Мирона Генерала, 19",54000,55,2,Тернопіль,"Бам
                        ·",7,982,0,0,0,0,0,0
,вул. Котляревського,53000,53,2,Тернопіль,"Новий світ
                        ·",6,1000,0,1,0,0,0,0
,вул. Коновальця Євгена (Біла),60000,74,3,Тернопіль,"Канада
                        ·",6,811,0,0,0,0,0,0
,вул. Яреми,32000,44,1,Тернопіль,"Аляска
                        ·",2,734,0,0,0,0,0,0
,"вул. Корольова, 5",70000,72,2,Тернопіль,Тернопіль,4,979,0,0,0,0,0,0
,вул. Бережанська,58000,65,2,Тернопіль,"Дружба
                        ·",4,892,0,1,1,1,0,0
,"вул. Львівська, 22",52906,84,2,Тернопіль,"Дружба
                        ·",1,628,0,0,0,0,0,0
,"вул. Володимира Лучаковського(Лучаківського), 12А",32500,50,2,Тернопіль,"Дружба
                        ·",6,650,0,0,1,0,0,0
,"просп. Злуки, 4",44000,45,1,Тернопіль,"Бам
                        ·",10,978,0,1,0,0,0,0
,вул. Польового Омеляна,65000,77,3,Тернопіль,"Східний
                        ·",1,844,0,0,1,0,0,0
,"вул. Тролейбусна, 7А",60424,94,3,Тернопіль,"Дружба
                        ·",2,642,0,0,0,0,0,0
,пров. Цегельний,64500,65,2,Тернопіль,"Дружба
                        ·",2,992,0,0,1,1,0,0
,вул. Тиха,85000,95,3,Тернопіль,"Оболоня
                        ·",5,895,0,0,1,1,0,1
,вул. Весела,39411,46,1,Тернопіль,"Старий парк
                        ·",5,857,0,0,1,0,0,0
,вул. Смакули,29040,44,1,Тернопіль,"Молодіжний
                        ·",5,660,0,0,1,0,0,0
,вул. Яремчука Назарія,35000,63,3,Тернопіль,"Дружба
                        ·",1,556,0,0,1,0,0,0
,вул. Академіка Проскури,23999,31,1,Харків,"Селище Жуковського
                        ·",4,774,0,0,1,0,0,0
,"вул. Миру, 27",37500,35,1,Харків,"Індустріальний
                        ·",1,1071,0,0,0,1,0,0
,"вул. Мироносицька, 74",77400,40,1,Харків,"Центр
                        ·",7,1935,0,0,0,1,0,0
,вул. Клочківська,105000,90,3,Харків,"Шевченківський
                        ·",3,1167,0,0,0,0,1,0
,"просп. Людвіга Свободи, 46Б",32000,37,1,Харків,"Олексїївка
                        ·",4,865,0,0,0,0,0,0
,"вул. Рогатинська Левада, 16",57000,47,1,Харків,"Холодногірський
                        ·",3,1213,0,0,0,1,0,0
,вул. Валентинівська,22000,37,1,Харків,"Салтівка
                        ·",8,595,0,0,0,1,0,0
,"вул. Професорська, 16",114000,105,3,Харків,"Шевченківський
                        ·",5,1086,0,0,0,0,0,0
,"пров. Лосівський, 4В",58000,43,1,Харків,"Холодногірський
                        ·",4,1349,0,1,0,0,1,0
,просп. Науки,130000,95,3,Харків,"Павлове Поле
                        ·",16,1368,0,0,0,0,0,0
,вул. Зернова,43000,61,3,Харків,"Одеська
                        ·",2,705,0,0,0,0,0,0
,вул. Шарикова,12880,14,1,Харків,"ХТЗ
                        ·",3,920,0,0,0,0,0,0
,вул. Семена Кузнеця,33500,47,2,Харків,"Павлівка
                        ·",4,713,0,0,0,0,0,0
,вул. Ахсарова,28000,38,1,Харків,"Олексїївка
                        ·",5,737,0,0,0,0,0,0
,вул. Єсеніна,41500,56,3,Харків,"Павлове Поле
                        ·",5,741,0,0,0,0,0,0
,"просп. Тракторобудівників, 140А",31000,61,3,Харків,"Салтівський
                        ·",5,508,0,1,1,1,0,0
,"вул. Велика Панасівська, 36",41000,53,2,Харків,"Холодногірський
                        ·",1,774,0,0,1,0,1,0
,"вул. Сухумська, 24",85000,56,1,Харків,"Павлівка
                        ·",2,1518,0,0,0,1,0,0
,вул. Героїв Праці,57000,82,4,Харків,"Київський
                        ·",9,695,0,0,0,0,0,0
,"просп. Науки, 77",250000,169,4,Харків,"Павлове Поле
                        ·",14,1479,0,1,0,1,1,0
,"вул. Культури, 16А",48000,41,2,Харків,"Центр
                        ·",3,1171,0,0,0,0,1,0
,"просп. Ювілейний, 38Д",33900,45,2,Харків,"Салтівка
                        ·",2,753,1,0,0,1,0,0
,"вул. Борткевича, 5",35000,40,2,Харків,"Київський
                        ·",8,875,0,1,0,1,0,0
,"вул. Героїв Праці, 47Д",23000,62,3,Харків,"Салтівський
                        ·",5,371,0,0,1,0,0,0
,"вул. Клочківська, 93",135000,90,3,Харків,"Шевченківський
                        ·",4,1500,1,0,0,0,1,0
,"вул. Гвардійців-Широнінців, 73В",35000,62,3,Харків,"Салтівський
                        ·",5,565,0,0,0,0,0,0
,"просп. Людвіга Свободи, 40",25000,33,1,Харків,"Олексїївка
                        ·",3,758,0,0,1,0,0,0
,"вул. Балакірєва, 20",30000,44,2,Харків,"Павлове Поле
                        ·",1,682,0,0,1,0,0,0
,"вул. Клочківська, 197Г",35000,66,3,Харків,"Павлівка
                        ·",9,530,0,0,0,0,0,0
,"вул. Ахсарова, 15А",42500,74,3,Харків,"Олексїївка
                        ·",15,574,1,0,0,0,0,0
,"вул. Барабашова, 36А",56000,68,2,Харків,"522-ий мікрорайон
                        ·",14,824,0,0,0,0,0,0
,"просп. Перемоги, 48",37000,68,3,Харків,"Олексїївка
                        ·",6,544,0,0,0,0,0,0
,"просп. Перемоги, 48А",50000,66,3,Харків,"Олексїївка
                        ·",2,746,0,0,1,1,0,0
,вул. Академіка Павлова,140000,118,3,Харків,"524-ий мікрорайон
                        ·",4,1186,0,0,0,1,0,0
,вул. Гвардійців-Широнінців,78000,72,1,Харків,"Салтівка
                        ·",8,1083,0,0,0,0,0,0
,"вул. Коломенська, 4",39000,28,1,Харків,"Шевченківський
                        ·",5,1393,0,0,0,0,1,0
,"просп. Перемоги, 86",29950,47,1,Харків,"Шевченківський
                        ·",6,637,0,0,0,0,0,1
,"пров. Зерновий, 6/3",11800,22,1,Харків,Харків,5,536,0,0,0,0,0,0
,"вул. Молочна, 52",100000,73,2,Харків,"Слобідський
                        ·",13,1370,0,0,0,0,0,1
,"вул. Гвардійців-Широнінців, 73",27000,46,2,Харків,"Салтівський
                        ·",9,587,1,0,0,0,0,0
,"вул. Клочківська, 258",99999,105,2,Харків,"Олексїївка
                        ·",21,952,0,1,1,0,0,0
,"просп. Героїв Харкова(Московський), 131В",54500,65,2,Харків,"Слобідський
                        ·",9,838,0,1,0,1,0,0
,"просп. Героїв Харкова(Московський), 270Д",47500,83,3,Харків,"Індустріальний
                        ·",8,574,0,0,0,0,0,0
,вул. Новоолександрівська,53000,59,1,Харків,"Київський
                        ·",3,898,0,0,0,0,0,1
,"вул. Гвардійців-Широнінців, 49",30000,34,1,Харків,"520-й мікрорайон
                        ·",3,882,0,1,0,0,0,0
,вул. Культури,40000,60,2,Харків,"Шевченківський
                        ·",2,667,0,0,0,0,0,0
,"вул. Ньютона, 100",35000,35,1,Харків,"Нові Дома
                        ·",6,1000,0,0,0,0,0,0
,"пров. Карбишева, 3",71000,55,2,Харків,"Основ’янський
                        ·",15,1291,0,0,0,0,0,0
,"просп. Перемоги, 66Л",33000,39,1,Харків,"Шевченківський
                        ·",7,846,0,0,0,0,0,0
,"вул. Селянська, 34А",25000,39,1,Харків,"Новожаново
                        ·",10,641,1,0,1,1,0,0
,"вул. Москалівська, 92",35000,65,3,Харків,"Москалівка (Новобаварський)
                        ·",1,538,1,0,0,0,0,0
,"вул. Власенка, 9",31000,81,4,Харків,"Новобаварський
                        ·",6,383,0,0,1,0,0,0
,"вул. Дача 55, 9",50000,51,2,Харків,"Київський
                        ·",5,980,0,0,1,0,0,0
,"вул. Цілиноградська, 58Б",129900,90,3,Харків,"Шевченківський
                        ·",13,1443,0,0,0,0,0,0
,вул. Дерев'янка,40000,48,2,Харків,"Шевченківський
                        ·",6,832,0,0,0,0,0,0
,вул. Клеменова дача,180000,122,3,Харків,"Шишковка
                        ·",4,1475,0,0,0,0,0,0
,"вул. Гарібальді, 3А",45000,68,3,Харків,"Салтівка
                        ·",12,663,0,0,0,0,0,0
,пров. Буковий,46207,72,2,Харків,"Олексїївка
                        ·",4,668,0,0,0,0,0,0
,"вул. Бучми, 36Б",27000,52,2,Харків,"Салтівка
                        ·",4,519,0,0,0,1,0,0
,"вул. Валентинівська, 40",43000,58,2,Харків,"Салтівський
                        ·",6,827,0,0,0,0,0,0
,"вул. Героїв Праці, 19",45000,65,3,Харків,"Салтівка
                        ·",4,692,0,0,0,0,0,0
,"вул. Героїв Праці, 43",44000,83,4,Харків,"Салтівка
                        ·",6,530,0,0,0,0,0,0
,"вул. Гвардійців-Широнінців, 67",27500,33,1,Харків,"Салтівка
                        ·",5,833,0,0,0,0,0,0
,"вул. Гвардійців-Широнінців, 33",78000,104,3,Харків,"Салтівка
                        ·",15,750,0,0,0,0,0,0
,"вул. Зубенка Владислава, 17",17000,33,1,Харків,"Салтівка
                        ·",1,515,0,0,0,0,0,0
