,title,price,squer,room,city,addres,floor,metr,new_rem,auction,quiet_area,furniture,center,parking,full_address,latitude,longitude
340,вул. Теремківська,86000,51,2,Київ,"Голосіївський
                    ·",4,1686,0,0,0,1,0,0,"вул. Теремківська, Київ, Україна",50.370917,30.4571425
341,вул. Верховинна,90000,73,3,Київ,"Святошинський
                    ·",12,1230,0,0,0,1,0,0,"вул. Верховинна, Київ, Україна",50.4520853,30.357786
342,вул. Дмитра Луценка,55000,29,1,Київ,"Голосіївський
                    ·",3,1897,0,0,1,1,0,0,"вул. Дмитра Луценка, Київ, Україна",50.3864638,30.4492356
343,вул. Михайла Донця,75000,45,1,Київ,"Солом'янський
                    ·",19,1667,0,0,0,0,0,0,"вул. Михайла Донця, Київ, Україна",50.4328139,30.4296256
344,"просп. Берестейський(Перемоги), 9/47",55000,45,2,Київ,"Шевченківський
                    ·",4,1222,1,0,0,0,1,0,"просп. Берестейський(Перемоги), 9/47, Київ, Україна",50.4547302,30.4450782
345,"вул. Празька, 22",55000,58,3,Київ,"Дніпровський
                    ·",5,955,0,0,1,0,0,0,"вул. Празька, 22, Київ, Україна",50.43823515,30.640084550000005
346,"просп. Академіка Глушкова, 5А",60000,34,1,Київ,"Голосіївський
                    ·",1,1783,0,0,1,0,0,0,"просп. Академіка Глушкова, 5А, Київ, Україна",50.3802971,30.4749729
347,"Харківське шосе, 18",56000,43,2,Київ,"Дніпровський
                    ·",5,1302,1,0,0,0,0,0,"Харківське шосе, 18, Київ, Україна",50.4349087,30.630834170052623
349,"вул. Лєскова, 6",55000,23,1,Київ,"Печерськ
                    ·",3,2391,0,0,0,0,1,0,"вул. Лєскова, 6, Київ, Україна",50.43094665,30.539679205828396
351,"вул. Академіка Білецького, 10",27000,18,1,Київ,"Солом'янський
                    ·",1,1588,0,0,0,0,0,0,"вул. Академіка Білецького, 10, Київ, Україна",50.431637300000006,30.419594550000014
352,"просп. Леся Курбаса, 10Г",28900,20,1,Київ,"Святошинський
                    ·",2,1445,0,0,0,0,0,0,"просп. Леся Курбаса, 10Г, Київ, Україна",50.4317511,30.37773749929427
354,"вул. Драгоманова, 5",71000,70,3,Київ,"Дарницький
                    ·",3,1014,0,0,1,0,0,0,"вул. Драгоманова, 5, Київ, Україна",50.41592635,30.639572844726437
356,"вул. Романа Ратушного(Волгоградська), 33",73500,53,2,Київ,"Солом'янський
                    ·",2,1376,0,0,0,0,0,0,"вул. Романа Ратушного(Волгоградська), 33, Київ, Україна",50.4223786,30.4835584
357,вул. Круглоуніверситетська,143000,57,2,Київ,"Печерський
                    ·",2,2509,0,0,1,0,1,0,"вул. Круглоуніверситетська, Київ, Україна",50.44405,30.5247344
358,"вул. Саперне Поле, 5А",580000,150,2,Київ,"Печерський
                    ·",9,3867,0,0,0,0,0,0,"вул. Саперне Поле, 5А, Київ, Україна",50.41910205,30.53254233454058
359,"вул. Костянтина Данькевича, 10",67000,60,2,Київ,"Деснянський
                    ·",21,1117,0,1,1,1,0,0,"вул. Костянтина Данькевича, 10, Київ, Україна",50.5215675,30.6151648
360,вул. Миколи Пимоненка,108000,54,2,Київ,"Шевченківський
                    ·",8,2000,0,0,0,0,1,0,"вул. Миколи Пимоненка, Київ, Україна",50.4590574,30.4916362
361,"вул. Дубищанська, 6",128000,99,3,Київ,"Оболонський
                    ·",3,1267,0,0,0,0,0,0,"вул. Дубищанська, 6, Київ, Україна",50.5430362,30.493723791549023
362,"вул. Предславинська, 53",140000,40,1,Київ,"Печерський
                    ·",6,3500,0,1,0,0,1,1,"вул. Предславинська, 53, Київ, Україна",50.416325400000005,30.52648635
363,"вул. Академіка Заболотного, 1",114980,71,3,Київ,Київ,8,1630,0,0,0,0,0,0,"вул. Академіка Заболотного, 1, Київ, Україна",50.3708818,30.461664825423544
364,"вул. Дегтярівська, 10",73000,47,2,Київ,"Лук'янівка
                    ·",8,1587,0,0,0,0,0,0,"вул. Дегтярівська, 10, Київ, Україна",50.46236545,30.47481295
365,"вул. Зарічна, 6/2",249000,113,3,Київ,"Дніпровський
                    ·",13,2204,0,0,0,0,1,0,"вул. Зарічна, 6/2, Київ, Україна",50.3107265,30.0220467
366,"вул. Драгомирова, 12",680000,180,5,Київ,"Печерський
                    ·",15,3778,1,0,0,1,0,0,"вул. Драгомирова, 12, Київ, Україна",50.41272515,30.545626843431805
367,"вул. Вікентія Беретті, 5А",37000,35,1,Київ,"Деснянський
                    ·",3,1057,0,0,0,1,0,0,"вул. Вікентія Беретті, 5А, Київ, Україна",50.508806050000004,30.603807311320274
368,"вул. Драгомирова, 15",400000,80,3,Київ,"Печерський
                    ·",21,4819,0,0,0,0,0,0,"вул. Драгомирова, 15, Київ, Україна",50.4088354,30.544936488202143
369,"просп. Лобановського, 31",55980,63,3,Київ,"Солом'янський
                    ·",8,891,0,0,0,0,0,0,"просп. Лобановського, 31, Київ, Україна",50.42186715,30.469467729676424
370,"вул. Драгомирова, 20",400000,120,3,Київ,"Печерський
                    ·",9,3333,0,0,0,0,0,0,"вул. Драгомирова, 20, Київ, Україна",50.40940405,30.54439705146797
371,"вул. Всеволода Змієнка, 21",130000,111,4,Київ,"Подільський
                    ·",25,1171,0,0,0,0,1,0,"вул. Всеволода Змієнка, 21, Київ, Україна",50.505202350000005,30.411478527461504
372,"вул. Нижньоключова, 14",108021,51,2,Київ,"Солом'янський
                    ·",18,2094,0,0,0,0,0,0,"вул. Нижньоключова, 14, Київ, Україна",50.441254099999995,30.4482013554804
373,"вул. Миколи Лаврухіна, 12",84400,52,1,Київ,"Троєщина
                    ·",22,1623,0,0,1,1,0,0,"вул. Миколи Лаврухіна, 12, Київ, Україна",50.5176962,30.5976809
374,"вул. Пирогова, 2",180000,70,3,Київ,"Шевченківський
                    ·",6,2571,1,0,0,0,0,0,"вул. Пирогова, 2, Київ, Україна",50.4467148,30.5066324
375,"вул. Євгена Харченка, 47Б",34000,31,1,Київ,"Дарницький
                    ·",6,1097,0,0,0,0,0,0,"вул. Євгена Харченка, 47Б, Київ, Україна",50.3822744,30.699385104332386
376,"вул. Лісківська, 2/71",56000,56,2,Київ,"Троєщина
                    ·",2,1005,0,0,1,0,0,0,"вул. Лісківська, 2/71, Київ, Україна",50.523974100000004,30.606634117949724
377,"вул. Миколи Пимоненка, 21",210456,95,3,Київ,"Шевченківський
                    ·",21,2213,0,0,0,0,0,0,"вул. Миколи Пимоненка, 21, Київ, Україна",50.3051866,30.3120438
378,"просп. Правди, 3",44000,36,1,Київ,"Виноградар
                    ·",2,1222,0,0,0,0,0,0,"просп. Правди, 3, Київ, Україна",50.5032245,30.442286256500836
379,"вул. Драгомирова, 11",850000,150,2,Київ,"Печерський
                    ·",28,5313,0,1,0,0,0,0,"вул. Драгомирова, 11, Київ, Україна",50.4092838,30.5460872
380,"узвіз Кловський, 12А",93000,61,3,Київ,"Шевченківський
                    ·",7,1525,0,0,0,0,1,0,"узвіз Кловський, 12А, Київ, Україна",50.43880475,30.53759329493484
381,"вул. Золотоустівська, 2/4",135000,100,4,Київ,"Шевченківський
                    ·",3,1350,0,0,0,0,1,0,"вул. Золотоустівська, 2/4, Київ, Україна",50.44819995,30.491426694806158
382,"вул. Каунаська, 27",48719,40,1,Київ,"Дніпровський
                    ·",25,1212,0,0,0,0,0,0,"вул. Каунаська, 27, Київ, Україна",50.43139445,30.62697327660738
383,"вул. Кіото, 3",65000,46,2,Київ,"Дніпровський
                    ·",6,1404,0,0,0,0,0,0,"вул. Кіото, 3, Київ, Україна",50.46294135,30.631043814020096
385,"просп. Миколи Бажана, 10",96000,52,2,Київ,"Дарницький
                    ·",4,1843,0,0,0,0,0,0,"просп. Миколи Бажана, 10, Київ, Україна",50.3947705,30.6189541
386,"вул. Максимовича, 24",97000,37,1,Київ,"Голосіївський
                    ·",8,2622,0,0,0,0,1,1,"вул. Максимовича, 24, Київ, Україна",50.39248095,30.473288217786212
387,"вул. Срібнокільська, 4",54000,43,1,Київ,"Дарницький
                    ·",11,1314,0,0,0,0,0,0,"вул. Срібнокільська, 4, Київ, Україна",50.4010082,30.6290722907353
389,"вул. Коновальця Євгена, 30",328324,130,3,Київ,"Печерський
                    ·",25,2527,0,0,0,0,0,0,"вул. Коновальця Євгена, 30, Київ, Україна",50.3465379,30.297541
390,"узвіз Кловський, 7",490620,221,4,Київ,"Липки
                    ·",34,2220,0,0,0,0,1,0,"узвіз Кловський, 7, Київ, Україна",50.43859715,30.5386679
391,"пров. Сеноманський, 16",52000,60,2,Київ,"ДВРЗ
                    ·",4,867,0,0,1,1,0,0,"пров. Сеноманський, 16, Київ, Україна",50.44557845,30.663448763927803
392,"вул. Новопирогівська, 33",29000,30,1,Київ,"Голосіївський
                    ·",9,967,0,0,1,0,0,0,"вул. Новопирогівська, 33, Київ, Україна",50.36513925,30.55572126516345
393,"вул. Червонопільська, 20/15",30000,33,1,Київ,"Подільський
                    ·",4,909,0,0,1,0,0,0,"вул. Червонопільська, 20/15, Київ, Україна",50.513633150000004,30.434655438480192
394,"вул. Андрія Малишка, 29А",63000,52,2,Київ,"Північно-Броварський Масив
                    ·",5,1189,0,0,0,0,0,0,"вул. Андрія Малишка, 29А, Київ, Україна",50.462456700000004,30.62480486760032
395,"вул. Сергія Данченка, 22А",125000,55,2,Київ,"Подільський
                    ·",2,2273,0,1,1,0,0,0,"вул. Сергія Данченка, 22А, Київ, Україна",50.495881,30.43424015
396,"вул. Теремківська, 4А",136850,39,1,Київ,"Голосіївський
                    ·",7,3500,0,1,0,1,0,0,"вул. Теремківська, 4А, Київ, Україна",50.3712972,30.4502855
397,"вул. Максимовича, 28Є",70000,41,1,Київ,"Голосіївський
                    ·",13,1699,0,0,0,0,0,0,"вул. Максимовича, 28Є, Київ, Україна",50.39468455,30.472153250298568
398,"вул. Нижній Вал, 27-29",254000,127,2,Київ,"Поділ
                    ·",5,2002,0,0,0,0,1,0,"вул. Нижній Вал, 27-29, Київ, Україна",50.4669771,30.512639910480946
399,вул. Перемоги,76500,50,1,Київ,"Шевченківський
                    ·",10,1530,0,0,0,0,0,0,"вул. Перемоги, Київ, Україна",50.4438719,30.3640469
400,"просп. Петра Григоренка, 29",63000,56,2,Київ,"Дарницький
                    ·",11,1125,0,0,0,0,0,0,"просп. Петра Григоренка, 29, Київ, Україна",50.404197249999996,30.632446334530513
401,"наб. Дніпровська, 18Б",180000,88,2,Київ,"Дарницький
                    ·",25,2045,0,1,0,0,0,0,"наб. Дніпровська, 18Б, Київ, Україна",50.4099136,30.6008292
403,"просп. Бажана Миколи, 12",115000,72,2,Київ,"Осокорки
                    ·",9,1597,0,0,1,1,0,0,"просп. Бажана Миколи, 12, Київ, Україна",50.3949603,30.6221633
406,"вул. Кубанської України, 24",49500,51,2,Київ,"Деснянський
                    ·",7,971,0,0,0,0,0,0,"вул. Кубанської України, 24, Київ, Україна",50.485607349999995,30.633846620733724
407,"вул. Миколи Закревського, 95В",105000,78,3,Київ,"Деснянський
                    ·",12,1346,0,0,0,0,0,0,"вул. Миколи Закревського, 95В, Київ, Україна",50.52983,30.6232333
408,"вул. Стадіонна, 6",95000,74,3,Київ,"Солом'янський
                    ·",6,1284,0,0,0,0,0,0,"вул. Стадіонна, 6, Київ, Україна",50.4362759,30.48290603471569
410,вул. Микільсько-Слобідська,76300,55,1,Київ,"Микільська Слобідка
                    ·",13,1400,0,0,0,0,0,0,"вул. Микільсько-Слобідська, Київ, Україна",50.4556391,30.5933857
411,"вул. Салютна, 2Б",179000,72,2,Київ,"Шевченківський
                    ·",8,2486,0,0,1,0,0,0,"вул. Салютна, 2Б, Київ, Україна",50.47037075,30.404048000447773
412,"вул. Мокра(Кудряшова), 16",169800,100,2,Київ,"Солом'янка
                    ·",17,1698,0,0,0,0,0,0,"вул. Мокра(Кудряшова), 16, Київ, Україна",50.430830549999996,30.48649984343364
413,"вул. Євгена Маланюка, 101Ш",116000,77,2,Київ,"Дніпровський
                    ·",25,1506,0,0,0,0,0,1,"вул. Євгена Маланюка, 101Ш, Київ, Україна",50.4645986,30.5862163
414,вул. Менделєєва,79500,44,2,Київ,"Печерський
                    ·",4,1807,0,0,0,0,1,0,"вул. Менделєєва, Київ, Україна",50.4123953,30.5356954
415,"вул. Драгомирова, 15А",950000,180,4,Київ,"Печерський
                    ·",9,5278,0,0,0,0,0,0,"вул. Драгомирова, 15А, Київ, Україна",50.40817725,30.54627792370152
416,вул. Вишгородська,100000,77,2,Київ,"Подільський
                    ·",9,1299,1,0,0,0,0,0,"вул. Вишгородська, Київ, Україна",50.505929,30.4491819
418,"просп. Берестейський(Перемоги), 148/1",61000,50,3,Київ,"Біличі
                    ·",2,1220,0,0,0,0,0,0,"просп. Берестейський(Перемоги), 148/1, Київ, Україна",50.4590158,30.4106686
419,"вул. Бульварно-Кудрявська, 7Б",149000,108,3,Київ,"Шевченківський
                    ·",9,1380,0,0,0,0,0,0,"вул. Бульварно-Кудрявська, 7Б, Київ, Україна",50.453133,30.50539947333513
420,"вул. Академіка Заболотного, 148В",125900,45,1,Київ,"Голосіївський
                    ·",15,2798,0,0,0,1,0,0,"вул. Академіка Заболотного, 148В, Київ, Україна",50.35368545,30.480011642417207
421,"вул. Ованеса Туманяна, 1А",95000,53,1,Київ,"Дніпровський
                    ·",10,1792,0,0,1,0,0,0,"вул. Ованеса Туманяна, 1А, Київ, Україна",50.4460742,30.6006508
422,"наб. Дніпровська, 20Б",144700,65,2,Київ,"Дарницький
                    ·",5,2226,0,1,0,0,0,0,"наб. Дніпровська, 20Б, Київ, Україна",50.41809,30.5930264
423,"наб. Дніпровська, 14Б",255000,97,2,Київ,"Дарницький
                    ·",4,2629,0,1,0,0,0,0,"наб. Дніпровська, 14Б, Київ, Україна",50.41809,30.5930264
424,вул. Кам'янська,85000,43,1,Київ,"Дарницький
                    ·",15,1977,0,0,0,0,0,0,"вул. Кам'янська, Київ, Україна",50.4048302,30.6706068
425,"вул. Гетьмана Вадима, 46А",80000,53,2,Київ,"Солом'янський
                    ·",15,1509,0,0,0,0,0,0,"вул. Гетьмана Вадима, 46А, Київ, Україна",50.4373467,30.445526279334956
426,"вул. Вишняківська, 2",62000,37,1,Київ,"Дарницький
                    ·",17,1676,0,0,0,0,0,0,"вул. Вишняківська, 2, Київ, Україна",50.393823499999996,30.652600002158806
427,"вул. Ревуцького, 34",58000,58,2,Київ,"Дарницький
                    ·",3,1000,0,0,0,0,0,0,"вул. Ревуцького, 34, Київ, Україна",50.40749905,30.6478947640753
428,вул. Івана Виговського(Маршала Гречка),80000,41,1,Київ,"Подільський
                    ·",18,1951,1,0,0,0,0,0,"вул. Івана Виговського(Маршала Гречка), Київ, Україна",50.484777,30.405822
429,"вул. Лісківська, 18А",46000,40,1,Київ,"Деснянський
                    ·",4,1150,0,0,0,0,0,0,"вул. Лісківська, 18А, Київ, Україна",50.52773875,30.598356991724597
430,"вул. Новопольова, 2",62000,64,2,Київ,"Солом'янський
                    ·",8,969,0,0,0,0,0,0,"вул. Новопольова, 2, Київ, Україна",50.434080550000004,30.443443017631505
431,"вул. Дегтярна, 8",290000,74,2,Київ,"Поділ
                    ·",3,3919,0,0,0,0,0,0,"вул. Дегтярна, 8, Київ, Україна",50.45904405,30.510244374959584
432,"вул. Драгоманова, 3",59900,60,2,Київ,"Дарницький
                    ·",9,998,0,0,0,0,0,0,"вул. Драгоманова, 3, Київ, Україна",50.4159183,30.637396047051105
433,вул. Святослава Хороброго,75000,53,2,Київ,"Солом'янський
                    ·",14,1415,0,0,0,0,0,0,"вул. Святослава Хороброго, Київ, Україна",50.4160235,30.4565434
434,"вул. Миколи Закревського, 95",55500,41,1,Київ,"Деснянський
                    ·",18,1364,0,0,1,0,0,0,"вул. Миколи Закревського, 95, Київ, Україна",50.530311749999996,30.627062356971514
435,"вул. Маккейна Джона, 1",243600,84,2,Київ,"Печерський
                    ·",2,2900,0,0,0,0,1,0,"вул. Маккейна Джона, 1, Київ, Україна",50.4141957,30.526651601756996
436,"просп. Молоді, 23",47000,50,2,Луцьк,Луцьк,4,940,0,0,0,0,0,0,"просп. Молоді, 23, Луцьк, Україна",50.76216365,25.36809644023578
437,"вул. Чорновола В'ячеслава, 7",109426,106,3,Луцьк,"55 мікрорайон
                    ·",4,1029,0,0,0,0,0,0,"вул. Чорновола В'ячеслава, 7, Луцьк, Україна",50.75362440000001,25.3653373049157
438,вул. Рівненська,53000,62,2,Луцьк,"Теремно
                    ·",1,855,0,0,1,0,0,1,"вул. Рівненська, Луцьк, Україна",50.7430441,25.3625107
439,"вул. Привокзальна, 12",43454,47,1,Луцьк,"Центр
                    ·",6,934,0,0,0,0,0,0,"вул. Привокзальна, 12, Луцьк, Україна",50.76017445,25.347609444359968
440,"вул. Рівненська, 4",56024,68,2,Луцьк,"Центр
                    ·",4,828,0,0,0,0,0,0,"вул. Рівненська, 4, Луцьк, Україна",50.74226,25.359121031017068
441,"просп. Молоді, 8А",59999,80,3,Луцьк,"33 мікрорайон
                    ·",2,750,0,0,0,1,0,1,"просп. Молоді, 8А, Луцьк, Україна",50.76515935,25.37298202440016
442,вул. Львівська,67000,94,3,Луцьк,"Красне
                    ·",2,713,0,1,0,0,0,0,"вул. Львівська, Луцьк, Україна",50.7279627,25.2958989
443,вул. Наливайка,22000,31,1,Луцьк,"40 мікрорайон
                    ·",5,710,0,0,0,0,0,0,"вул. Наливайка, Луцьк, Україна",50.7780094,25.3579043
444,вул. Зацепи,100000,145,3,Луцьк,"40 мікрорайон
                    ·",8,689,0,0,1,1,0,0,"вул. Зацепи, Луцьк, Україна",50.7654551,25.3568725
445,"вул. Рівненська, 113",68400,80,3,Луцьк,"Теремно
                    ·",2,855,0,0,1,0,0,1,"вул. Рівненська, 113, Луцьк, Україна",50.74748765,25.38462380017331
446,вул. Чернишевського,120000,137,4,Луцьк,"Центр
                    ·",4,876,0,0,1,0,0,0,"вул. Чернишевського, Луцьк, Україна",50.7535356,25.3092847
447,"вул. В'ячеслава Хурсенка, 29",31000,40,2,Луцьк,"Балка
                    ·",1,775,0,0,1,0,0,0,"вул. В'ячеслава Хурсенка, 29, Луцьк, Україна",50.746081399999994,25.372458425665748
448,вул. Дмитра Іващенка,86500,100,3,Луцьк,"55 мікрорайон
                    ·",2,865,0,0,0,0,0,0,"вул. Дмитра Іващенка, Луцьк, Україна",50.7509477,25.3608167
449,вул. Лесі Українки,55000,57,2,Луцьк,"Центр
                    ·",3,960,1,0,0,1,1,0,"вул. Лесі Українки, Луцьк, Україна",50.743826,25.3215573
450,вул. Світла,48500,60,3,Луцьк,"Центр
                    ·",3,808,0,0,0,0,1,0,"вул. Світла, Луцьк, Україна",50.7477836,25.3378447
451,вул. Карпенка-Карого,40000,38,1,Луцьк,"55 мікрорайон
                    ·",5,1053,0,0,0,0,1,0,"вул. Карпенка-Карого, Луцьк, Україна",50.7573571,25.3524862
452,вул. Саперів,124000,100,4,Луцьк,"Центр
                    ·",2,1240,0,0,0,0,0,0,"вул. Саперів, Луцьк, Україна",50.7514305,25.3450911
453,"вул. Коновальця Євгена, 8Б",57000,98,2,Луцьк,"Центр
                    ·",4,582,0,0,0,0,0,0,"вул. Коновальця Євгена, 8Б, Луцьк, Україна",50.75597325,25.33690814943217
454,"вул. Ботанічна(Чекаліна), 11",48000,50,2,Луцьк,Луцьк,2,960,0,0,0,0,0,0,"вул. Ботанічна(Чекаліна), 11, Луцьк, Україна",50.72969115,25.297882175794662
455,"вул. Кравчука, 42А",64000,78,2,Луцьк,"40 мікрорайон
                    ·",10,817,0,0,0,0,0,0,"вул. Кравчука, 42А, Луцьк, Україна",50.75924965,25.35820212802658
456,"вул. Градний Узвіз, 13",73000,54,3,Луцьк,"Центр
                    ·",4,1352,0,0,0,0,0,0,"вул. Градний Узвіз, 13, Луцьк, Україна",50.7459291,25.3248629
457,"вул. Рівненська, 25Є",70000,95,3,Луцьк,"Центр
                    ·",10,737,0,0,0,0,0,0,"вул. Рівненська, 25Є, Луцьк, Україна",50.7442896,25.362297944590896
458,просп. Відродження,35500,50,2,Луцьк,"33 мікрорайон
                    ·",9,710,0,0,0,0,0,0,"просп. Відродження, Луцьк, Україна",50.7531474,25.3783843
459,"вул. Єршова, 9А",59000,60,2,Луцьк,"33 мікрорайон
                    ·",5,983,0,0,0,0,0,0,"вул. Єршова, 9А, Луцьк, Україна",50.7711677,25.374816950996077
460,"вул. Метельницького архітектора, 4",55000,65,3,Луцьк,"Центр
                    ·",1,851,0,0,0,0,0,0,"вул. Метельницького архітектора, 4, Луцьк, Україна",50.739858749999996,25.357903067999345
461,"вул. Франка Івана, 1",145000,108,3,Луцьк,"Центр
                    ·",3,1343,0,0,0,0,0,0,"вул. Франка Івана, 1, Луцьк, Україна",50.7487294,25.319017049564586
462,"просп. Відродження, 9",51000,67,3,Луцьк,"Теремно
                    ·",9,761,0,0,0,0,0,0,"просп. Відродження, 9, Луцьк, Україна",50.7510397,25.37738480871215
463,"просп. Перемоги, 20",55000,57,3,Луцьк,"Центр
                    ·",3,965,0,0,0,0,0,0,"просп. Перемоги, 20, Луцьк, Україна",50.7545344,25.3477221
464,"просп. Молоді, 15",42000,67,3,Луцьк,Луцьк,6,627,0,0,0,0,0,0,"просп. Молоді, 15, Луцьк, Україна",50.7621878,25.3709628317053
465,"вул. Гордіюк, 12",45000,51,2,Луцьк,"40 мікрорайон
                    ·",8,882,0,0,0,0,0,0,"вул. Гордіюк, 12, Луцьк, Україна",50.7734705,25.35960117157471
467,"вул. Конякіна, 33",58000,82,4,Луцьк,"40 мікрорайон
                    ·",3,707,0,0,0,0,0,0,"вул. Конякіна, 33, Луцьк, Україна",50.763315950000006,25.356579500092934
468,проспект Перемоги,46500,45,2,Луцьк,"55 мікрорайон
                    ·",7,1033,0,0,0,0,0,0,"проспект Перемоги, Луцьк, Україна",50.7552046,25.3501855
470,"вул. Карпенка-Карого, 7",32730,36,1,Луцьк,"55 мікрорайон
                    ·",5,946,0,0,0,0,0,0,"вул. Карпенка-Карого, 7, Луцьк, Україна",50.7542597,25.35466654912394
472,вул. Гімназійна(Черняховського),25000,31,1,Луцьк,"Гнідава
                    ·",5,814,0,0,0,0,0,0,"вул. Гімназійна(Черняховського), Луцьк, Україна",50.7252344,25.3079558
473,"просп. Перемоги, 34А",40000,43,1,Луцьк,Луцьк,8,930,0,0,0,0,0,0,"просп. Перемоги, 34А, Луцьк, Україна",50.75432605,25.350894082292914
474,"просп. Перемоги, 32Б",55000,50,1,Луцьк,"Центр
                    ·",8,1100,0,0,0,0,0,0,"просп. Перемоги, 32Б, Луцьк, Україна",50.75382125,25.350263809686954
475,"просп. Перемоги, 4",42500,43,1,Луцьк,"55 мікрорайон
                    ·",4,988,0,0,0,0,0,0,"просп. Перемоги, 4, Луцьк, Україна",50.75239675,25.333382635273594
476,"вул. Ковельська, 24",32000,75,5,Луцьк,"Центр
                    ·",2,429,0,0,0,0,0,0,"вул. Ковельська, 24, Луцьк, Україна",50.7428519,25.312843371238205
477,вул. Коновальця Євгена,29500,43,2,Луцьк,"Завокзальне
                    ·",5,686,0,0,0,0,0,0,"вул. Коновальця Євгена, Луцьк, Україна",50.7562513,25.3352434
478,"вул. Ківерцівська, 16",32000,45,2,Луцьк,Луцьк,5,705,0,0,0,0,0,0,"вул. Ківерцівська, 16, Луцьк, Україна",50.76669655,25.345899877943772
479,вул. Дубнівська,105000,148,4,Луцьк,"Центр
                    ·",9,709,0,0,0,0,0,0,"вул. Дубнівська, Луцьк, Україна",50.7297935,25.3828908
480,"вул. Рівненська, 25Р",70000,95,3,Луцьк,"Центр
                    ·",10,739,0,0,0,0,0,0,"вул. Рівненська, 25Р, Луцьк, Україна",50.74348335,25.363955100099513
481,"вул. Шкільна, 4",39500,43,1,Луцьк,"Красне
                    ·",3,919,0,0,0,0,0,0,"вул. Шкільна, 4, Луцьк, Україна",50.7440278,25.3040601
482,вул. Шевченка,61000,70,3,Луцьк,"Теремно
                    ·",1,871,0,0,0,0,0,0,"вул. Шевченка, Луцьк, Україна",50.7481432,25.3214237
484,"вул. Франка Івана, 7",48000,45,1,Луцьк,Луцьк,11,1067,0,0,0,0,0,0,"вул. Франка Івана, 7, Луцьк, Україна",50.7526642,25.3275873
485,вул. Цегельна,79000,90,3,Луцьк,"Гнідава
                    ·",1,878,0,0,0,0,0,0,"вул. Цегельна, Луцьк, Україна",50.7289078,25.3081555
486,вул. Сагайдачного Гетьмана,38000,50,2,Луцьк,"33 мікрорайон
                    ·",3,760,0,0,0,0,0,0,"вул. Сагайдачного Гетьмана, Луцьк, Україна",50.7495262,25.3811961
487,просп. Перемоги,72000,65,2,Луцьк,"55 мікрорайон
                    ·",6,1108,0,0,0,0,0,0,"просп. Перемоги, Луцьк, Україна",50.7532662,25.340066
490,"вул. Даньшина, 14В",36000,38,1,Луцьк,Луцьк,4,942,0,0,0,0,0,0,"вул. Даньшина, 14В, Луцьк, Україна",50.7261009,25.301741554768974
491,Волі проспект,66000,69,2,Луцьк,"Центр
                    ·",9,954,0,0,0,0,0,0,"Волі проспект, Луцьк, Україна",50.7466952,25.3274639
492,вул. Кравчука,89000,87,3,Луцьк,"40 мікрорайон
                    ·",3,1023,0,0,0,0,0,0,"вул. Кравчука, Луцьк, Україна",50.7588802,25.3553531
493,вул. Винниченка,35000,50,3,Луцьк,"Центр
                    ·",5,700,0,0,0,0,0,0,"вул. Винниченка, Луцьк, Україна",50.7527899,25.3301663
494,"вул. Героїв-добровольців(Федорова), 4В",97000,90,3,Луцьк,Луцьк,5,1078,0,0,0,0,0,0,"вул. Героїв-добровольців(Федорова), 4В, Луцьк, Україна",50.767197350000004,25.360174499994365
495,"просп. Грушевського Президента, 24",55000,49,2,Луцьк,"Центр
                    ·",2,1122,0,0,0,0,0,0,"просп. Грушевського Президента, 24, Луцьк, Україна",50.7562904,25.346140969998107
496,вул. Даньшина,50000,45,1,Луцьк,Луцьк,9,1111,0,0,0,0,0,0,"вул. Даньшина, Луцьк, Україна",50.7222467,25.3212834
497,вул. 8 Березня,68000,79,3,Луцьк,"Центр
                    ·",1,862,0,0,0,0,0,0,"вул. 8 Березня, Луцьк, Україна",50.7494133,25.3431753
498,"просп. Волі, 74",35500,53,2,Луцьк,"Центр
                    ·",2,670,0,0,0,0,0,0,"просп. Волі, 74, Луцьк, Україна",50.74266715,25.35394937368314
499,"вул. Володимирська, 110",35000,44,1,Луцьк,"Красне
                    ·",8,795,0,0,0,0,0,0,"вул. Володимирська, 110, Луцьк, Україна",50.741963999999996,25.273496159141594
501,"вул. Бенделіані, 1",30000,36,1,Луцьк,"ГПЗ
                    ·",9,833,0,0,0,0,0,0,"вул. Бенделіані, 1, Луцьк, Україна",50.717698299999995,25.30786574017556
502,"вул. Фабрична, 4",25000,34,2,Луцьк,Луцьк,1,735,0,0,0,0,0,0,"вул. Фабрична, 4, Луцьк, Україна",50.744178649999995,25.299169546179957
504,просп. Соборності,29900,34,1,Луцьк,"33 мікрорайон
                    ·",1,887,0,0,0,0,0,0,"просп. Соборності, Луцьк, Україна",50.7559852,25.3540649
505,вул. Польова,35000,60,3,Луцьк,"Вересневе
                    ·",2,583,0,0,0,0,0,0,"вул. Польова, Луцьк, Україна",50.6979228,25.3093756
506,"вул. Липинського, 4",74000,90,2,Луцьк,"55 мікрорайон
                    ·",1,822,0,0,0,0,0,0,"вул. Липинського, 4, Луцьк, Україна",50.75235335,25.358002218088643
508,вул. Гулака-Артемовського,33000,50,3,Луцьк,"Завокзальне
                    ·",5,660,0,0,0,0,0,0,"вул. Гулака-Артемовського, Луцьк, Україна",50.7582045,25.3424973
509,"просп. Грушевського Президента, 1",45000,70,3,Луцьк,"Центр
                    ·",3,642,0,0,0,0,0,0,"просп. Грушевського Президента, 1, Луцьк, Україна",50.7541983,25.3328283
